['701', 'describe', 'history', 'oil', 'industry'] GX272-04-9612328.txt
['701', 'describe', 'history', 'oil', 'industry'] GX268-44-14627838.txt
['701', 'describe', 'history', 'oil', 'industry'] GX243-37-9114283.txt
['701', 'describe', 'history', 'oil', 'industry'] GX000-48-10208090.txt
['701', 'describe', 'history', 'oil', 'industry'] GX086-73-8348149.txt
['701', 'describe', 'history', 'oil', 'industry'] GX239-50-7698871.txt
['701', 'describe', 'history', 'oil', 'industry'] GX254-81-15444994.txt
['701', 'describe', 'history', 'oil', 'industry'] GX240-73-7066598.txt
['701', 'describe', 'history', 'oil', 'industry'] GX259-33-9792347.txt
['701', 'describe', 'history', 'oil', 'industry'] GX259-76-13946879.txt
['701', 'describe', 'history', 'oil', 'industry'] GX012-95-3579128.txt
['701', 'describe', 'history', 'oil', 'industry'] GX051-08-2365574.txt
['701', 'describe', 'history', 'oil', 'industry'] GX019-97-10776270.txt
['701', 'describe', 'history', 'oil', 'industry'] GX234-71-13975336.txt
['701', 'describe', 'history', 'oil', 'industry'] GX259-43-4145578.txt
['701', 'describe', 'history', 'oil', 'industry'] GX262-56-13887588.txt
['701', 'describe', 'history', 'oil', 'industry'] GX252-58-7075943.txt
['701', 'describe', 'history', 'oil', 'industry'] GX255-24-1598211.txt
['701', 'describe', 'history', 'oil', 'industry'] GX252-40-15601030.txt
['701', 'describe', 'history', 'oil', 'industry'] GX268-44-1955857.txt
['701', 'describe', 'history', 'oil', 'industry'] GX251-67-3587189.txt
['701', 'describe', 'history', 'oil', 'industry'] GX020-60-2262246.txt
['701', 'describe', 'history', 'oil', 'industry'] GX252-16-4340076.txt
['701', 'describe', 'history', 'oil', 'industry'] GX242-31-12779636.txt
['701', 'describe', 'history', 'oil', 'industry'] GX043-67-7049410.txt
['701', 'describe', 'history', 'oil', 'industry'] GX252-13-14007619.txt
['701', 'describe', 'history', 'oil', 'industry'] GX227-14-5834955.txt
['701', 'describe', 'history', 'oil', 'industry'] GX255-13-0372574.txt
['701', 'describe', 'history', 'oil', 'industry'] GX034-61-5088345.txt
['701', 'describe', 'history', 'oil', 'industry'] GX015-20-10573408.txt
['701', 'describe', 'history', 'oil', 'industry'] GX235-49-1853414.txt
['701', 'describe', 'history', 'oil', 'industry'] GX251-60-15766581.txt
['701', 'describe', 'history', 'oil', 'industry'] GX271-75-11892784.txt
['701', 'describe', 'history', 'oil', 'industry'] GX238-16-15902128.txt
['701', 'describe', 'history', 'oil', 'industry'] GX244-28-8126678.txt
['701', 'describe', 'history', 'oil', 'industry'] GX253-57-7230055.txt
